MODELO;DESCRIPCIÓN;MEDIDA;UdM;MARCA;ALMACÉN;FILA;CONDICION;STOCK MIN;CANTIDAD;Precio unitario COMPRA;Precio Total;.;SOLICITAR
L6154;Carretes Aceite;;Pieza;WINTEK;ESACLERA;;NUEVO;1;6;4982;29892;;hay suficiente
L6153;Carretes Aire;;Pieza;WINTEK;ESCALERA;;NUEVO;1;4;4516;18064;2;hay suficiente
-;Recibidor de aceite ;;Pieza;VEVOR;ESTANTE 1;;NUEVO;1;1;5000;5000;1;solicitar material
L1002;Recibidor de aceite ;;Pieza;WINTEK;ESTANTE 1;;NUEVO;1;1;3720;3720;1;solicitar material
-;Carrete;;Pieza;RAASM;ESTANTE 1;1;USADO;1;1;0;0;1;solicitar material
-;Carrete;;Pieza;WINTEK;ESTANTE 1;1;USADO;1;1;0;0;1;solicitar material
-;Carrete sin manguera;;Pieza;WINTEK;ESTANTE 1;1;USADO;1;1;0;0;1;solicitar material
F16435000;Conector Espiga UREA ;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;8;134;1072;2;hay suficiente
F16433000;Conector Codo Bomba;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;4;204.42;817.68;2;hay suficiente
F00984200;Pistola Cuenta Litros K400;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;5;4934;24670;2;hay suficiente
F0037553A;Conjunto Diesel EX50;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;2;12901;25802;2;hay suficiente
F0077900;Pistola Easy View 2.0;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;1;5208;5208;1;solicitar material
Cubeta Bomba, plato,tapa, pistola;Conjunto Grasa Pail GREASE;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;0;0;0;1;solicitar material
F00407340;Medidor Digital K24;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;3;3420;10260;2;hay suficiente
F0057000A;Medidor Diesel K33;;Pieza;PIUSI;ESTANTE 1;2;NUEVO;1;2;2740;5480;2;hay suficiente
